Category,Full Name,Pokepaste,EVs,Tournament / Event,Rank,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Local Tour,Blake Falls,https://pokepast.es/b3bc22844432db97,Yes,Local Tour,Top 4,Alomomola,Dondozo,Palafin,Tatsugiri,Serperior,Luxray
Local Tour,Manuel Barea,https://pokepast.es/a98f2ab53b00c6b8,Yes,Local Tour,1st,Ninetales,Leafeon,Dedenne,Malamar,Dugtrio-Alola,Noivern
Local Tour,April Conway,https://pokepast.es/61a9206d23c5f0bd,Yes,Local Tour,1st,Dondozo,Rillaboom,Sneasler,Clefable,Kingambit,Baxcalibur
Local Tour,sepal,https://pokepast.es/8f7183c67d16478e,Yes,Ganyu-Off #49,1st,Blaziken,Primarina,Ursaluna-Bloodmoon,Kingambit,Klefki,Noivern
Local Tour,mumemo,https://pokepast.es/b62eb753c69e8acc,Yes,Ganyu-Off #49,2nd,Incineroar,Dondozo,Sneasler,Gholdengo,Ninetales-Alola,Dragonite
Local Tour,Juan Borreguero,https://pokepast.es/b5e70eed464b378a,Yes,Local Tour,2nd,Talonflame,Gastrodon-East,Rillaboom,Annihilape,Espeon,Archaludon
Local Tour,kim0227poke,https://pokepast.es/5771df4f79e8e0c8,Yes,Tera Square #45,1st,Charizard,Incineroar,Torkoal,Jumpluff,Ursaluna,Porygon2
Local Tour,Lorenzo Arce,https://pokepast.es/86a6005b4bd9cf96,Yes,Highlander Games VGC Challenge,2nd,Torracat,Electrode-Hisui,Trapinch,Squawkabilly,Gholdengo,Grimmsnarl
Local Tour,mame_tan326,https://pokepast.es/407e0a27fcb84762,Yes,Ai Off,1st,Incineroar,Glaceon,Whimsicott,Ninetales-Alola,Dragonite,Garchomp
Local Tour,DatGuyJimmeh,https://pokepast.es/58b20a117e399e83,Yes,Local Tour,1st,Politoed,Rillaboom,Toxicroak,Clefable,Kingambit,Salamence
Local Tour,Cbutty,https://pokepast.es/3698eed62faf37db,Yes,Local League Cup,Top 4,Volcarona,Tauros-Paldea-Aqua,Hydrapple,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Gothitelle
Local Tour,Everett Filloon,https://pokepast.es/7fa165bd99fa2baa,Yes,Local League Cup,1st,Incineroar,Primarina,Vivillon,Porygon2,Gholdengo,Garchomp
Local Tour,Mitchell Raye,https://pokepast.es/ed67fcb0fce1bb91,Yes,Local Tour,2nd,Incineroar,Primarina,Amoonguss,Ursaluna,Porygon2,Gholdengo
Global/Grand Challenge,Dumbo,https://pokepast.es/688de72fd0a1afbb,Yes,Grand Challenge #2 2026,25th,Armarouge,Annihilape,Sneasler,Ursaluna-Bloodmoon,Indeedee,Whimsicott
Global/Grand Challenge,swampvgc,https://pokepast.es/22a923d1dc711a27,Yes,Grand Challenge #1 2026,17th,Basculegion,Pelipper,Ursaluna-Bloodmoon,Whimsicott,Gholdengo,Archaludon
Global/Grand Challenge,naniromaaa,https://pokepast.es/96211bbc295c1485,No,Grand Challenge #1 2026,55th,Dondozo,Tatsugiri-Stretchy,Annihilape,Whimsicott,Gholdengo,Dragonite
Global/Grand Challenge,Joseph Ugarte,https://pokepast.es/0e9e2a52060a73ae,No,Grand Challenge #1 2026,88th,Annihilape,Tyranitar,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Corviknight,Klefki
Global/Grand Challenge,primsh1130411,https://pokepast.es/b4975404cd6bb5f3,Yes,Grand Challenge #1 2026,113th,Dondozo,Pelipper,Tatsugiri,Sneasler,Indeedee,Archaludon
Global/Grand Challenge,Federico Camporesi,https://pokepast.es/7c1f901e1e68a9ba,Yes,2025 Grand Challenge #3,1st,Incineroar,Ursaluna-Bloodmoon,Whimsicott,Gholdengo,Archaludon,Dragonite
Global/Grand Challenge,JPTK-VGC,https://pokepast.es/4e4ea3cd6eb5d1c6,Yes,2025 Grand Challenge #3,2nd,Volcarona,Basculegion,Ursaluna-Bloodmoon,Grimmsnarl,Archaludon,Salamence
Global/Grand Challenge,Yuki Zaninovich,https://pokepast.es/7d21ee92328e5367,Yes,2025 Grand Challenge #3,8th,Pelipper,Weavile,Whimsicott,Farigiraf,Archaludon,Garchomp
Global/Grand Challenge,Fevzi Özkan,https://pokepast.es/2cd5e096d9e1c25c,No,2025 Grand Challenge #3,Peak 8th,Annihilape,Maushold-Family-of-Four,Murkrow,Gholdengo,Archaludon,Dragonite
Global/Grand Challenge,Kevin Salvetto,https://pokepast.es/4e9d109dfb4870ca,Yes,2025 Grand Challenge #3,11th,Talonflame,Tyranitar,Gholdengo,Archaludon,Dragonite,Garchomp
Global/Grand Challenge,felipaovgc,https://pokepast.es/967d0998e0740bbe,Yes,2025 Grand Challenge #3,27th,Dondozo,Pelipper,Tatsugiri,Sneasler,Indeedee,Archaludon
Global/Grand Challenge,Ibrahim Maarouf,https://pokepast.es/a2a195ce1d79d044,Yes,2025 Grand Challenge #3,56th,Basculegion,Dondozo,Pelipper,Tatsugiri,Sneasler,Indeedee
Global/Grand Challenge,Joji Kaieda,https://pokepast.es/cf1ae8c3a525495d,Yes,2025 Grand Challenge #2,1st,Talonflame,Rillaboom,Annihilape,Maushold-Family-of-Four,Gholdengo,Dragonite
Global/Grand Challenge,Marco Martinez,https://pokepast.es/1f373ffd1461e6e4,Yes,2025 Grand Challenge #2,16th,Annihilape,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Ninetales-Alola,Dragonite
Global/Grand Challenge,Galahad Excalibur,https://pokepast.es/45f708faa83f9bdf,Yes,2025 Grand Challenge #2,49th,Armarouge,Torkoal,Dondozo,Tatsugiri,Lilligant-Hisui,Indeedee-F
Global/Grand Challenge,Nick Navarre,https://pokepast.es/c1bab699356e8599,Yes,2025 Grand Challenge #1,1st,Incineroar,Amoonguss,Sneasler,Ursaluna-Bloodmoon,Porygon2,Dragapult
Global/Grand Challenge,Abdullah Mohayyuddin,https://pokepast.es/6f50064b131d0f23,Yes,2025 Grand Challenge #1,3rd,Pelipper,Quaquaval,Rillaboom,Kingambit,Archaludon,Dragapult
Global/Grand Challenge,Brady Smith,https://pokepast.es/15e44349fa959e34,No,2025 Grand Challenge #1,8th,Incineroar,Rillaboom,Sneasler,Clefable,Gholdengo,Dragapult
Global/Grand Challenge,Joseph Ugarte,https://pokepast.es/19f566a5e8980b97,No,2025 Grand Challenge #1,21st,Primarina,Vivillon,Orthworm,Archaludon,Dragonite,Garchomp
Ladder,Emir Abdulovski,https://pokepast.es/a4a20f3b2f0f9860,Yes,Showdown Ladder,Peak 1st,Basculegion,Pelipper,Electrode-Hisui,Sinistcha,Spiritomb,Archaludon
Ladder,MikaMika_tti,https://pokepast.es/d9e9172c5109bc59,Yes,Battle Stadium S25,1st and 3rd,Basculegion,Pelipper,Ursaluna-Bloodmoon,Whimsicott,Gholdengo,Archaludon
Ladder,syachi,https://pokepast.es/e4a9ce57970071f5,No,Battle Stadium S25,2nd,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
Ladder,Ryotaro Kimura,https://pokepast.es/aed28ee6b0aaf123,Yes,Battle Stadium S25,5th,Torkoal,Jumpluff,Rillaboom,Ursaluna-Bloodmoon,Mimikyu,Dragonite
Ladder,ptmad_tripos,https://pokepast.es/085d6f8735446388,Yes,Battle Stadium S25,6th,Incineroar,Volcarona,Amoonguss,Ursaluna-Bloodmoon,Gholdengo,Dragonite
Ladder,Berumotto,https://pokepast.es/0679ac92309e5b88,Yes,Battle Stadium S25,7th,Basculegion,Rillaboom,Annihilape,Maushold-Family-of-Four,Gholdengo,Dragonite
Ladder,Motoki Agano,https://pokepast.es/ad428e9d2fc3f6f2,No,Battle Stadium S25,8th,Charizard,Torkoal,Jumpluff,Torterra,Flamigo,Dragonite
Ladder,snm_774,https://pokepast.es/1c822dd737355ec2,Yes,Battle Stadium S25,9th,Incineroar,Rillaboom,Annihilape,Ursaluna-Bloodmoon,Gholdengo,Dragonite
Ladder,Erizabeth,https://pokepast.es/a8b6301f869fd5b4,No,Battle Stadium S25,10th,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
Ladder,Xinyu Liao,https://pokepast.es/1f296ab9ea8e18ea,Yes,Battle Stadium S25,13th,Pelipper,Rillaboom,Whimsicott,Gholdengo,Archaludon,Dragonite
Ladder,Dumbo,https://pokepast.es/7a01dbce2131fc56,Yes,Battle Stadium S25,16th,Armarouge,Annihilape,Sneasler,Ursaluna-Bloodmoon,Indeedee,Whimsicott
Ladder,gachiguma4,https://pokepast.es/b800d81b1a999e15,No,Battle Stadium S25,17th,Dondozo,Tatsugiri-Stretchy,Cinccino,Ursaluna,Koffing,Weezing-Galar
Ladder,Ryo,https://pokepast.es/a9449f0020fdf67e,No,Battle Stadium S25,19th,Volcarona,Dondozo,Tatsugiri-Droopy,Rillaboom,Sneasler,Dragonite
Ladder,alps,https://pokepast.es/b26656d47ded159c,No,Battle Stadium S25,20th,Talonflame,Pelipper,Hawlucha,Gholdengo,Archaludon,Baxcalibur
Ladder,Roar__of__Time,https://pokepast.es/99de20d322e02175,No,Battle Stadium S25,21st and 36th,Basculegion,Pelipper,Rillaboom,Murkrow,Archaludon,Dragonite
Ladder,Dumbo,https://pokepast.es/07d90776b7eb1f35,Yes,Battle Stadium S25,23rd,Basculegion,Pelipper,Maushold-Family-of-Four,Gholdengo,Archaludon,Dragonite
Ladder,ve7h3HdYiV32744,https://pokepast.es/a1de95c6f01dc272,Yes,Battle Stadium S25,29th,Blaziken,Primarina,Rillaboom,Electabuzz,Kingambit,Baxcalibur
Ladder,Will Inabinet,https://pokepast.es/9f4a154d732037e6,No,Battle Stadium S25,30th,Incineroar,Dondozo,Rillaboom,Annihilape,Gholdengo,Dragonite
Ladder,sora,https://pokepast.es/b80f21c63b25150a,Yes,Battle Stadium S25,37th,Incineroar,Rillaboom,Hippowdon,Ursaluna-Bloodmoon,Gholdengo,Dragonite
Ladder,DEYANSU,https://pokepast.es/9a2fabea319923bc,No,Battle Stadium S25,54th,Rillaboom,Electabuzz,Sneasler,Indeedee,Kingambit,Dragonite
Ladder,maro,https://pokepast.es/c1ec008f47597cd2,Yes,Battle Stadium S25,58th,Basculegion,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Gholdengo,Grimmsnarl,Dragonite
Ladder,Yoshikazu Sawane,https://pokepast.es/c9a2065457ff9e10,No,Battle Stadium S25,65th and 66th,Pelipper,Hawlucha,Murkrow,Gholdengo,Archaludon,Baxcalibur
Ladder,takoyaki,https://pokepast.es/05bf0f5618acf8ee,Yes,Battle Stadium S25,67th,Cinderace,Bombirdier,Gholdengo,Ninetales-Alola,Dragonite,Noivern
Ladder,TN57583085,https://pokepast.es/fecb8c82c3a25728,Yes,Battle Stadium S25,68th,Annihilape,Gholdengo,Scizor,Archaludon,Dragonite,Garchomp
Ladder,crymore,https://pokepast.es/bb381e5d71a313a4,Yes,Battle Stadium S25,74th,Volcarona,Dondozo,Rillaboom,Hawlucha,Kingambit,Garchomp
Ladder,hacci_0217,https://pokepast.es/e8d349d77d15ac8b,No,Battle Stadium S25,76th,Incineroar,Rotom-Wash,Amoonguss,Flamigo,Ursaluna-Bloodmoon,Farigiraf
Ladder,Jesse,https://pokepast.es/e91b46d97d203089,No,Battle Stadium S25,81st,Rillaboom,Sneasler,Magmar,Gholdengo,Ninetales-Alola,Dragonite
Ladder,clefablepoke,https://pokepast.es/0f1e8f1e329f8775,Yes,Battle Stadium S25,87th,Torkoal,Annihilape,Ursaluna,Zoroark-Hisui,Porygon2,Dragonite
Ladder,clefablepoke,https://pokepast.es/52545a6e779887f7,Yes,Battle Stadium S25,87th,Torkoal,Annihilape,Ursaluna,Zoroark-Hisui,Porygon2,Dragonite
Ladder,hacci_0217,https://pokepast.es/989a316f04c6059f,No,Battle Stadium S25,97th,Gastrodon,Annihilape,Maushold-Family-of-Four,Sableye,Sinistcha,Archaludon
Ladder,painporyz,https://pokepast.es/ebbe984582392500,Yes,Battle Stadium S25,98th,Incineroar,Ursaluna-Bloodmoon,Porygon2,Gholdengo,Archaludon,Dragonite
Ladder,Alllegro,https://pokepast.es/5cf1dff2c2aba160,Yes,Showdown Ladder,Top 100,Kingdra,Pelipper,Tsareena,Flamigo,Gholdengo,Archaludon
Ladder,Will Inabinet,https://pokepast.es/988e4bfb1a086ff3,Yes,Battle Stadium S25,Peak 1st,Incineroar,Dondozo,Rillaboom,Annihilape,Gholdengo,Dragonite
Ladder,Prossetti,https://pokepast.es/8e76207fd5b82ae5,Yes,Showdown Ladder,Peak 4th,Dondozo,Tatsugiri,Annihilape,Maushold-Family-of-Four,Whimsicott,Gholdengo
Ladder,Satoshi Abe,https://pokepast.es/0695cdd0fd73897f,Yes,Battle Stadium S24,79th,Dondozo,Rillaboom,Annihilape,Gholdengo,Archaludon,Dragonite
Ladder,Wang Yi-Liang,https://pokepast.es/a9ac1ea1070cc12a,Yes,Taiwan Premier Ball League,-,Typhlosion-Hisui,Bruxish,Rillaboom,Pawmot,Ursaluna-Bloodmoon,Whimsicott
Ladder,Maya Hoppins,https://pokepast.es/d31402b39faba59c,Yes,Battle Stadium S25,Peak 2nd,Armarouge,Annihilape,Sneasler,Indeedee-F,Ninetales-Alola,Garchomp
Ladder,Ryota Otsubo,https://pokepast.es/7758286d073b3504,Yes,Battle Stadium S25,Peak 4th,Primarina,Rillaboom,Annihilape,Excadrill,Tyranitar,Farigiraf
Ladder,Erizabeth,https://pokepast.es/483446065792f400,Yes,Battle Stadium S24,2nd,Incineroar,Annihilape,Ursaluna,Porygon2,Gholdengo,Dragonite
Ladder,Yuta Takahashi,https://pokepast.es/00a107342f0a1dba,Yes,Battle Stadium S24,5th,Sneasler,Ursaluna,Indeedee,Murkrow,Espathra,Ninetales-Alola
Ladder,Mitsu,https://pokepast.es/4a733d66b90e5a87,No,Battle Stadium S24,6th,Dondozo,Tatsugiri,Annihilape,Murkrow,Gholdengo,Dragonite
Ladder,Ryotaro Kimura,https://pokepast.es/4bbb5cfc6f02e22c,Yes,Battle Stadium S24,9th,Torkoal,Jumpluff,Rillaboom,Ursaluna-Bloodmoon,Mimikyu,Dragonite
Ladder,yurayura_pon,https://pokepast.es/282c394155db43a9,Yes,Battle Stadium S24,12th,Talonflame,Rillaboom,Annihilape,Maushold-Family-of-Four,Gholdengo,Garchomp
Ladder,runa,https://pokepast.es/266a4bb048fdbf1e,No,Battle Stadium S24,14th,Incineroar,Rillaboom,Ursaluna-Bloodmoon,Gholdengo,Archaludon,Dragonite
Ladder,rika_poke_,https://pokepast.es/54ce3fb6796353bb,Yes,Battle Stadium S24,15th,Kilowattrel,Annihilape,Ursaluna-Bloodmoon,Indeedee,Whimsicott,Archaludon
Ladder,Junya,https://pokepast.es/ef14da9ec5f5c949,Yes,Battle Stadium S24,17th,Torkoal,Annihilape,Ursaluna,Indeedee-F,Dusclops,Hatterene
Ladder,Ruuto,https://pokepast.es/679d48957f826f1f,Yes,Battle Stadium S24,18th,Incineroar,Volcarona,Meowscarada,Annihilape,Ursaluna-Bloodmoon,Whimsicott
Ladder,robotheipk,https://pokepast.es/060b0526539f24dd,Yes,Battle Stadium S24,19th,Incineroar,Volcarona,Rillaboom,Frosmoth,Ninetales-Alola,Garchomp
Ladder,indigo_poke,https://pokepast.es/16aff04316c0f735,No,Battle Stadium S24,21th,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
Ladder,aqril15,https://pokepast.es/c9d5f174b299f11f,No,Battle Stadium S24,22th,Armarouge,Torkoal,Annihilape,Indeedee-F,Maushold-Family-of-Four,Archaludon
Ladder,nagareoo,https://pokepast.es/0ea1b75696d3d61c,Yes,Battle Stadium S24,24th,Torkoal,Volcarona,Gallade,Ursaluna-Bloodmoon,Indeedee-F,Farigiraf
Ladder,Yuma Miyamoto,https://pokepast.es/e6e348a11f3a4f5f,No,Battle Stadium S24,30th,Rillaboom,Electabuzz,Annihilape,Ursaluna-Bloodmoon,Gholdengo,Dragonite
Ladder,Hiroto Hayasaki,https://pokepast.es/fbee785fb67f5b23,No,Battle Stadium S24,41th,Dondozo,Rillaboom,Annihilape,Gholdengo,Archaludon,Dragonite
Ladder,Hiroshi Onishi,https://pokepast.es/444374c9ca52ae04,No,Battle Stadium S24,44th,Incineroar,Milotic,Sneasler,Indeedee,Ninetales-Alola,Garchomp
Ladder,Yoshikazu Sawane,https://pokepast.es/c783e5f5f9b59676,No,Battle Stadium S24,47th,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
Ladder,Ryo,https://pokepast.es/26895a72d7879b7c,No,Battle Stadium S24,52th,Volcarona,Dondozo,Tatsugiri,Rillaboom,Sneasler,Dragonite
Ladder,maro,https://pokepast.es/7e7719f188cfaab7,Yes,Battle Stadium S24,58th,Basculegion,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Gholdengo,Grimmsnarl,Dragonite
Ladder,TN57583085,https://pokepast.es/4729f0876f31de73,Yes,Battle Stadium S24,65th,Rillaboom,Annihilape,Gholdengo,Archaludon,Dragonite,Garchomp
Ladder,Kevin,https://pokepast.es/79b64224244f16a1,Yes,Battle Stadium S24,66th,Incineroar,Annihilape,Ursaluna-Bloodmoon,Whimsicott,Gholdengo,Dragonite
Ladder,whitesalamence,https://pokepast.es/e9e7efb908692eb5,Yes,Battle Stadium S24,70th,Armarouge,Empoleon,Sneasler,Indeedee-F,Sinistcha,Dragapult
Ladder,kan0s0,https://pokepast.es/015ad73dbb4accce,Yes,Battle Stadium S24,75th,Incineroar,Annihilape,Maushold-Family-of-Four,Whimsicott,Sinistcha,Grimmsnarl
Ladder,onigirikun,https://pokepast.es/fef0f87e94604578,Yes,Battle Stadium S24,77th,Incineroar,Ursaluna,Zoroark-Hisui,Farigiraf,Gholdengo,Dragonite
Ladder,kongorillapoke,https://pokepast.es/4239e452234db8f4,Yes,Battle Stadium S24,78th,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
Ladder,ciufa1,https://pokepast.es/449ea4c674a0dbdb,Yes,Battle Stadium S24,89th,Incineroar,Electabuzz,Ursaluna-Bloodmoon,Sinistcha,Bronzong,Kommo-o
Ladder,infinity_ju,https://pokepast.es/8dbc3466bb54408f,Yes,Battle Stadium S24,92th,Typhlosion-Hisui,Dondozo,Tatsugiri,Annihilape,Maushold-Family-of-Four,Whimsicott
Ladder,Ryoma Okamoto,https://pokepast.es/031c2b95749bc473,Yes,Battle Stadium S24,120th,Volcarona,Rillaboom,Electabuzz,Annihilape,Kingambit,Dragonite
Ladder,torcoals,https://pokepast.es/9c64e243836d9de8,Yes,Battle Stadium S24,134th,Politoed,Krookodile,Archaludon,Dragonite,Goodra-Hisui,Salamence
Ladder,dameningenyoyo,https://pokepast.es/9078efabff4dabda,Yes,Battle Stadium S24,138th,Incineroar,Dewgong,Rillaboom,Gengar,Gothitelle,Garchomp
Ladder,nissy_08poke,https://pokepast.es/f672087a98c672c8,No,Battle Stadium S24,143th,Incineroar,Sneasler,Kingambit,Ninetales-Alola,Dragonite,Garchomp
Ladder,xx_z2z,https://pokepast.es/7b5a7f1838017fc3,Yes,Battle Stadium S23,7th,Incineroar,Greninja,Pelipper,Ursaluna-Bloodmoon,Sinistcha,Archaludon
Ladder,runa,https://pokepast.es/5e864b149854fcaa,Yes,Battle Stadium S23,55th,Incineroar,Amoonguss,Ursaluna-Bloodmoon,Gholdengo,Archaludon,Dragonite
Ladder,JPTK-VGC,https://pokepast.es/d842ea83d0bf48b4,Yes,Battle Stadium S24,Peak 1st,Gyarados,Annihilape,Ursaluna-Bloodmoon,Whimsicott,Grimmsnarl,Archaludon
Ladder,MisschaGotcha,https://pokepast.es/df1219235178e2bf,Yes,Showdown Ladder,Peak 88th,Gastrodon-East,Annihilape,Excadrill,Tyranitar,Corviknight,Grimmsnarl
Ladder,Kazunori Muranushi,https://pokepast.es/db0815344b698d2a,Yes,Battle Stadium S23,135th,Dondozo,Annihilape,Ursaluna-Bloodmoon,Gholdengo,Archaludon,Dragonite
Ladder,Ryota Otsubo,https://pokepast.es/76ee01465e942cac,Yes,Battle Stadium S23,28th,Tauros-Paldea-Blaze,Primarina,Meowscarada,Ursaluna-Bloodmoon,Magmar,Farigiraf
Ladder,paper,https://pokepast.es/9d3a3b821fb96f7d,Yes,Battle Stadium S23,25th,Volcarona,Dondozo,Tatsugiri-Droopy,Rillaboom,Annihilape,Dragonite
Ladder,Jun Mikami,https://pokepast.es/6e986cd5eb88e171,Yes,Battle Stadium S23,26th,Incineroar,Sneasler,Kingambit,Ninetales-Alola,Dragonite,Garchomp
Ladder,shuuka_poke,https://pokepast.es/d0edaf550f726d25,Yes,Battle Stadium S23,57th,Volcarona,Dondozo,Tatsugiri,Sneasler,Kingambit,Dragonite
Ladder,PerishSongJP,https://pokepast.es/8f25302ed6f729f7,Yes,Battle Stadium S23,81th,Talonflame,Dondozo,Tatsugiri,Pawmot,Gholdengo,Dragonite
Ladder,Will Inabinet,https://pokepast.es/00dfaecb01fbbca6,Yes,Battle Stadium S24,Peak 1st,Dondozo,Rillaboom,Sneasler,Magmar,Kingambit,Baxcalibur
Ladder,Maya Hoppins,https://pokepast.es/a1f85032f60356aa,Yes,Showdown Ladder,68th,Incineroar,Primarina,Rillaboom,Sneasler,Furret,Gholdengo
Ladder,Ryota Otsubo,https://pokepast.es/932ea5782d967479,Yes,Battle Stadium S24,Peak 38th,Torkoal,Lilligant-Hisui,Scyther,Snorlax,Indeedee-F,Farigiraf
Ladder,rizabeth1376189,https://pokepast.es/883f84b30db5f7a2,Yes,Battle Stadium S23,1st & 3rd,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
Ladder,Joji Kaieda,https://pokepast.es/d9e3bca77263e308,Yes,Battle Stadium S23,2nd,Talonflame,Rillaboom,Annihilape,Maushold-Family-of-Four,Gholdengo,Baxcalibur
Ladder,Ryotaro Kimura,https://pokepast.es/0f56036d89c18e63,Yes,Battle Stadium S23,4th,Torkoal,Lilligant-Hisui,Rillaboom,Ursaluna-Bloodmoon,Mimikyu,Dragonite
Ladder,0722poke_teku,https://pokepast.es/b62bc929b0690d1e,No,Battle Stadium S23,5th,Incineroar,Amoonguss,Ursaluna,Porygon2,Gholdengo,Dragonite
Ladder,sora,https://pokepast.es/2b1e41a94bfe419d,Yes,Battle Stadium S23,6th & 8th,Incineroar,Primarina,Amoonguss,Ursaluna-Bloodmoon,Gholdengo,Dragonite
Ladder,Ruuto,https://pokepast.es/c57dc00e241689f4,Yes,Battle Stadium S23,9th,Incineroar,Milotic,Sneasler,Indeedee,Ninetales-Alola,Garchomp
Ladder,kt__kt1,https://pokepast.es/95eb0d840af17369,Yes,Battle Stadium S23,11th,Incineroar,Volcarona,Annihilape,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Whimsicott
Ladder,Fumiaki Suwa,https://pokepast.es/2983b1720ef24839,No,Battle Stadium S23,13th,Incineroar,Amoonguss,Annihilape,Porygon2,Gholdengo,Dragonite
Ladder,Tomoya Ogawa,https://pokepast.es/84ed4dbfbf64b6dc,Yes,Battle Stadium S23,20th,Incineroar,Sneasler,Ursaluna-Bloodmoon,Clefable,Gholdengo,Dragonite
Ladder,rika_poke_,https://pokepast.es/308980667e96093c,Yes,Battle Stadium S23,21th,Kilowattrel,Annihilape,Ursaluna-Bloodmoon,Indeedee,Whimsicott,Garchomp
Ladder,PennSta,https://pokepast.es/9640df107b15b146,Yes,Battle Stadium S23,24th,Pelipper,Primarina,Rillaboom,Gholdengo,Archaludon,Dragonite
Ladder,chappi_saburo,https://pokepast.es/a753baf219b73f0e,Yes,Battle Stadium S23,31th,Sneasler,Corviknight,Ninetales-Alola,Archaludon,Dragonite,Garchomp
Ladder,Yuma Suzuki,https://pokepast.es/c125eef422873926,Yes,Battle Stadium S23,82th,Incineroar,Sneasler,Indeedee,Ninetales-Alola,Dragonite,Garchomp
Ladder,homura_kurenai_,https://pokepast.es/05548de7fc3474b9,Yes,Battle Stadium S23,90th,Dondozo,Tatsugiri,Sneasler,Ursaluna,Porygon2,Dragonite
Ladder,could_do28,https://pokepast.es/cb5d8e8e1278ee17,Yes,Battle Stadium S23,116th,Incineroar,Amoonguss,Flamigo,Ursaluna,Porygon2,Garchomp
Ladder,Hijito Kihara,https://pokepast.es/b99e7cd0a78084c2,Yes,Battle Stadium S23,Peak 41th,Incineroar,Slowking,Ursaluna,Indeedee-F,Sinistcha,Goodra-Hisui
Ladder,Ryota Otsubo,https://pokepast.es/a5c00e08a69e19d6,Yes,Battle Stadium S23,Peak 48th,Volcarona,Pelipper,Weavile,Weezing-Galar,Sinistcha,Archaludon
Ladder,Exzlu,https://pokepast.es/9b0115f0fd1376d0,Yes,Battle Stadium S23,Peak 83th,Zoroark-Hisui,Maushold-Family-of-Four,Murkrow,Lucario,Sylveon,Archaludon
Ladder,Ruuto,https://pokepast.es/2d7786f924396f9c,Yes,Battle Stadium S23,Peak 1st,Incineroar,Milotic,Sneasler,Indeedee,Ninetales-Alola,Garchomp
Ladder,Itachi,https://pokepast.es/ff92586e7db378f4,Yes,Battle Stadium S23,Peak 96th,Dondozo,Tatsugiri,Annihilape,Sneasler,Indeedee,Dragapult
Ladder,teyon0gn8,https://pokepast.es/c0e203957b5e1618,Yes,Battle Stadium S22,1st & 8th,Pelipper,Tauros-Paldea-Aqua,Rillaboom,Kingambit,Archaludon,Dragonite
Ladder,Ryotaro Kimura,https://pokepast.es/c2e2674d70d60428,Yes,Battle Stadium S22,2nd & 5th,Armarouge,Torkoal,Lilligant-Hisui,Ursaluna-Bloodmoon,Indeedee-F,Dragonite
Ladder,0722poke_teku,https://pokepast.es/9cf26b3454aea991,Yes,Battle Stadium S22,6th,Incineroar,Amoonguss,Ursaluna,Porygon2,Gholdengo,Dragonite
Ladder,hikaripokejinro,https://pokepast.es/7fb19a3cad0e9034,Yes,Battle Stadium S22,9th & 12th,Armarouge,Gastrodon,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Ninetales-Alola
Ladder,Taro Okada,https://pokepast.es/55386dd47acc0d19,Yes,Battle Stadium S22,10th & 25th,Incineroar,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Dragonite
Ladder,wilbellsendai,https://pokepast.es/291ce795586300f5,Yes,Battle Stadium S22,18th,Talonflame,Volcarona,Primarina,Rillaboom,Sneasler,Kingambit
Ladder,zero,https://pokepast.es/68304b0e0cbb1e24,Yes,Battle Stadium S22,22th,Samurott-Hisui,Excadrill,Tyranitar,Indeedee,Corviknight,Kommo-o
Ladder,Jun Mikami,https://pokepast.es/8d9db294924b2c35,Yes,Battle Stadium S22,26th,Incineroar,Amoonguss,Flamigo,Ursaluna,Porygon2,Garchomp
Ladder,heavens13poke,https://pokepast.es/69db1d6c224068ce,Yes,Battle Stadium S22,38th,Basculegion,Pelipper,Poliwrath,Weavile,Gholdengo,Archaludon
Ladder,rika_poke_,https://pokepast.es/fa348743a26bb993,Yes,Battle Stadium S22,39th & 78th,Kilowattrel,Annihilape,Ursaluna-Bloodmoon,Indeedee,Whimsicott,Garchomp
Ladder,Kota Higashino,https://pokepast.es/d2845bf4a41c3a5a,Yes,Battle Stadium S22,59th,Incineroar,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Gholdengo,Ninetales-Alola,Dragonite
Ladder,paper,https://pokepast.es/dcbd532cf3b2a39e,Yes,Battle Stadium S22,63th,Armarouge,Ursaluna-Bloodmoon,Indeedee-F,Maushold-Family-of-Four,Mimikyu,Dragonite
Ladder,takigori600,https://pokepast.es/116423528e422ac4,Yes,Battle Stadium S22,64th,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon,Hydreigon
